"","parameters","r","p_nominal","p_corrected"
"1","v",-0.251,0.039,0.151
"2","v_congruent",-0.224,0.066,0.151
"3","v_incongruent",-0.217,0.075,0.151
"4","a",-0.043,0.731,0.731
"5","t",-0.071,0.566,0.679
"6","z",0.15,0.223,0.335
