"","Parameters","b_ddm","p_ddm","b_acc","p_acc"
"1","v",-0.309597965131694,0.0230005121055216,0.132356505098969,0.323418785353193
"2","v_congruent",-0.296989598331123,0.018872789809831,0.0775967746561534,0.531649678807971
"3","v_incongruent",-0.196366869959595,0.240725426970246,0.124216906363679,0.456621065639468
"4","a",0.303510527469127,0.0443928009442351,-0.188951541208763,0.206522219625334
"5","t",0.0648341581031368,0.640474750021673,-0.0388672029794111,0.779379189443776
"6","z",-0.042803858029192,0.735264165853835,-0.0186534450475614,0.882812237067188
