"","parameters","r","p_nominal","p_corrected"
"1","v",0.152,0.213,0.319
"2","v_congruent",-0.347,0.003,0.021
"3","v_incongruent",-0.054,0.658,0.658
"4","a",0.194,0.11,0.22
"5","t",0.268,0.026,0.078
"6","z",-0.135,0.27,0.324
