"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker","b_acc","p_acc"
"1","v",-0.254534728694193,6.0397209501308e-05,0.00282051222854842,0.96452101258591,0.953629522164918,0.787855571563414
"2","v_congruent",-0.192773565062079,0.000543753484318801,-0.0286785158394519,0.642985998799936,-0.0474856021349957,0.411240565588782
"3","v_incongruent",-0.366331564913418,6.91698561052164e-05,0.0110856564464761,0.863331298936268,0.18206854038414,0.0241096560331241
"4","a",0.379082616476601,2.10602986975097e-05,0.11173338328702,0.145897259586255,-0.408131817569352,6.73151179410906e-05
"5","t",-0.0331606047815401,0.527640196043248,-0.111133618308887,0.0571681291439812,-0.0366417011258384,0.545272880919564
"6","z",-0.0454743027413569,0.396886939613729,-0.110100301342278,0.0591645972275207,-0.0613577780144932,0.316153061181364
