"","v_congruent_d1_z ","v_incongruent_d1_z ","a_congruent_d1_z ","a_incongruent_d1_z ","t_congruent_d1_z ","t_incongruent_d1_z ","z_d1_z ","flanker_score_d1_z ","accuracy_d1_z ","accuracy_congruent_log_d1_z ","accuracy_incongruent_d1_z ","rt_interference_d1_z ","FCZ_ERN_080_d1_z ","v_congruent_d2_z ","v_incongruent_d2_z ","a_congruent_d2_z ","a_incongruent_d2_z ","t_congruent_d2_z ","t_incongruent_d2_z ","z_d2_z ","flanker_score_d2_z ","accuracy_d2_z ","accuracy_congruent_log_d2_z ","accuracy_incongruent_d2_z ","rt_interference_d2_z ","FCZ_ERN_080_d2_z ","v_congruent_d3_z ","v_incongruent_d3_z ","a_congruent_d3_z ","a_incongruent_d3_z ","t_congruent_d3_z ","t_incongruent_d3_z ","z_d3_z ","flanker_score_d3_z ","accuracy_d3_z ","accuracy_congruent_log_d3_z ","accuracy_incongruent_d3_z ","rt_interference_d3_z ","FCZ_ERN_080_d3_z "
"accuracy_congruent_log_d2_z"," 0.475***"," 0.345** "," 0.439***"," 0.276*  ","-0.059   ","-0.494***","-0.494***"," 0.303** "," 0.457***"," 0.766***"," 0.203   "," 0.589***"," 0.335** "," 0.666***"," 0.477***"," 0.607***"," 0.248*  "," 0.093   "," 0.366** ","-0.539***"," 0.489***"," 0.600***","","","","","","","","","","","","","","","","",""
"accuracy_incongruent_d2_z","-0.066   "," 0.488***"," 0.197   "," 0.492***"," 0.492***","-0.064   ","-0.064   "," 0.314** "," 0.699***"," 0.108   "," 0.745***"," 0.029   "," 0.175   ","-0.079   "," 0.610***"," 0.367** "," 0.636***"," 0.504***"," 0.430***"," 0.039   "," 0.485***"," 0.906***"," 0.216   ","","","","","","","","","","","","","","","",""
"rt_interference_d2_z"," 0.145   "," 0.105   "," 0.404***"," 0.449***","-0.038   ","-0.459***","-0.459***"," 0.038   "," 0.301** "," 0.472***"," 0.138   "," 0.732***","-0.002   "," 0.275*  "," 0.196   "," 0.534***"," 0.481***","-0.085   "," 0.417***","-0.639***"," 0.011   "," 0.297** "," 0.535***"," 0.093   ","","","","","","","","","","","","","","",""
"FCZ_ERN_080_d2_z"," 0.247*  "," 0.010   ","-0.080   ","-0.172   "," 0.008   "," 0.150   "," 0.150   "," 0.226   "," 0.023   "," 0.112   ","-0.008   "," 0.106   "," 0.680***"," 0.320** "," 0.109   ","-0.076   ","-0.272*  ","-0.074   ","-0.155   "," 0.000   "," 0.211   "," 0.013   "," 0.185   ","-0.098   "," 0.039   ","","","","","","","","","","","","","",""
"v_congruent_d3_z"," 0.636***"," 0.221   ","-0.069   ","-0.292*  ","-0.159   ","-0.215   ","-0.215   "," 0.246*  ","-0.051   "," 0.333** ","-0.179   "," 0.299*  "," 0.489***"," 0.742***"," 0.326** "," 0.022   ","-0.303** ","-0.016   "," 0.002   ","-0.328** "," 0.203   "," 0.020   "," 0.415***","-0.198   "," 0.183   "," 0.436***","","","","","","","","","","","","",""
"v_incongruent_d3_z"," 0.171   "," 0.405***","-0.019   "," 0.146   "," 0.154   ","-0.070   ","-0.070   "," 0.314** "," 0.390***"," 0.085   "," 0.407***"," 0.097   "," 0.366** "," 0.234*  "," 0.452***"," 0.059   "," 0.220   "," 0.375** "," 0.175   ","-0.034   "," 0.224   "," 0.394***"," 0.217   "," 0.374** "," 0.061   "," 0.247*  "," 0.452***","","","","","","","","","","","",""
"a_congruent_d3_z"," 0.178   "," 0.197   "," 0.446***"," 0.377** "," 0.210   ","-0.197   ","-0.197   "," 0.051   "," 0.387***"," 0.372** "," 0.293*  "," 0.366** "," 0.035   "," 0.130   "," 0.228   "," 0.515***"," 0.507***"," 0.341** "," 0.532***","-0.225   "," 0.126   "," 0.457***"," 0.407***"," 0.354** "," 0.412***","-0.093   "," 0.193   "," 0.245*  ","","","","","","","","","","",""
"a_incongruent_d3_z","-0.161   "," 0.217   "," 0.502***"," 0.708***"," 0.390***","-0.129   ","-0.129   ","-0.086   "," 0.607***"," 0.248*  "," 0.561***"," 0.242*  ","-0.134   ","-0.239*  "," 0.154   "," 0.483***"," 0.807***"," 0.466***"," 0.458***"," 0.039   ","-0.021   "," 0.547***"," 0.229   "," 0.557***"," 0.312** ","-0.190   ","-0.376***"," 0.238*  "," 0.497***","","","","","","","","","",""
"t_congruent_d3_z","-0.167   "," 0.062   "," 0.358** "," 0.518***"," 0.260*  ","-0.073   ","-0.073   ","-0.225   "," 0.347** "," 0.156   "," 0.286*  "," 0.124   ","-0.018   ","-0.141   "," 0.069   "," 0.321** "," 0.551***"," 0.539***"," 0.376** "," 0.081   ","-0.110   "," 0.354** "," 0.151   "," 0.352** "," 0.069   "," 0.023   ","-0.054   "," 0.265*  "," 0.009   "," 0.477***","","","","","","","","",""
"t_incongruent_d3_z","-0.226   "," 0.012   "," 0.466***"," 0.611***"," 0.178   ","-0.198   ","-0.198   ","-0.185   "," 0.377***"," 0.245*  "," 0.292*  "," 0.293*  ","-0.128   ","-0.178   "," 0.056   "," 0.453***"," 0.662***"," 0.418***"," 0.538***","-0.185   ","-0.099   "," 0.389***"," 0.257*  "," 0.352** "," 0.363** ","-0.161   ","-0.062   "," 0.330** "," 0.423***"," 0.491***"," 0.738***","","","","","","","",""
"z_d3_z","-0.216   ","-0.129   ","-0.090   "," 0.002   "," 0.182   "," 0.328** "," 0.328** ","-0.105   ","-0.065   ","-0.260*  "," 0.037   ","-0.239*  ","-0.196   ","-0.280*  ","-0.019   ","-0.076   ","-0.016   "," 0.043   ","-0.084   "," 0.436***"," 0.015   "," 0.058   ","-0.287*  "," 0.203   ","-0.384***","-0.088   ","-0.361** ","-0.346** ","-0.334** ","-0.105   "," 0.191   ","-0.163   ","","","","","","",""
"flanker_score_d3_z"," 0.108   "," 0.357** ","-0.038   "," 0.031   ","-0.004   ","-0.062   ","-0.062   "," 0.412***"," 0.366** "," 0.128   "," 0.385***"," 0.134   "," 0.354** "," 0.237*  "," 0.264*  "," 0.012   "," 0.042   "," 0.107   "," 0.036   ","-0.095   "," 0.385***"," 0.307** "," 0.313** "," 0.218   "," 0.111   "," 0.138   "," 0.344** "," 0.585***"," 0.144   "," 0.051   "," 0.073   "," 0.133   ","-0.264*  ","","","","","",""
"accuracy_d3_z"," 0.069   "," 0.414***"," 0.325** "," 0.497***"," 0.323** ","-0.141   ","-0.141   "," 0.203   "," 0.673***"," 0.319** "," 0.617***"," 0.257*  "," 0.268*  "," 0.012   "," 0.377** "," 0.334** "," 0.576***"," 0.504***"," 0.412***"," 0.016   "," 0.285*  "," 0.698***"," 0.384***"," 0.656***"," 0.212   "," 0.091   "," 0.158   "," 0.728***"," 0.501***"," 0.577***"," 0.527***"," 0.630***","-0.124   "," 0.595***","","","","",""
"accuracy_congruent_log_d3_z"," 0.372** "," 0.219   "," 0.302** "," 0.171   ","-0.033   ","-0.315** ","-0.315** "," 0.112   "," 0.293*  "," 0.563***"," 0.093   "," 0.493***"," 0.266*  "," 0.390***"," 0.272*  "," 0.325** "," 0.232   "," 0.181   "," 0.318** ","-0.352** "," 0.247*  "," 0.391***"," 0.607***"," 0.168   "," 0.410***"," 0.139   "," 0.589***"," 0.384***"," 0.548***"," 0.136   "," 0.285*  "," 0.490***","-0.373** "," 0.482***"," 0.629***","","","",""
"accuracy_incongruent_d3_z","-0.149   "," 0.381***"," 0.218   "," 0.518***"," 0.407***","-0.003   ","-0.003   "," 0.180   "," 0.665***"," 0.071   "," 0.706***"," 0.050   "," 0.158   ","-0.221   "," 0.300*  "," 0.211   "," 0.583***"," 0.498***"," 0.290*  "," 0.216   "," 0.211   "," 0.633***"," 0.127   "," 0.711***"," 0.021   "," 0.004   ","-0.163   "," 0.700***"," 0.293*  "," 0.647***"," 0.489***"," 0.507***"," 0.043   "," 0.486***"," 0.890***"," 0.224   ","","",""
"rt_interference_d3_z"," 0.188   "," 0.146   "," 0.412***"," 0.379***","-0.087   ","-0.432***","-0.432***","-0.030   "," 0.336** "," 0.519***"," 0.153   "," 0.705***"," 0.019   "," 0.285*  "," 0.123   "," 0.398***"," 0.324** "," 0.019   "," 0.421***","-0.525***","-0.091   "," 0.202   "," 0.515***","-0.018   "," 0.819***"," 0.002   "," 0.220   "," 0.159   "," 0.398***"," 0.365** "," 0.138   "," 0.414***","-0.452***"," 0.214   "," 0.298** "," 0.438***"," 0.111   ","",""
"FCZ_ERN_080_d3_z"," 0.216   "," 0.103   "," 0.069   ","-0.086   "," 0.059   "," 0.053   "," 0.053   "," 0.221   "," 0.146   "," 0.167   "," 0.109   ","-0.068   "," 0.595***"," 0.123   ","-0.032   ","-0.094   ","-0.148   "," 0.170   ","-0.032   "," 0.103   "," 0.299*  "," 0.143   "," 0.199   "," 0.066   ","-0.083   "," 0.670***"," 0.194   "," 0.107   "," 0.061   ","-0.096   "," 0.085   "," 0.086   ","-0.117   "," 0.097   "," 0.167   "," 0.144   "," 0.092   ","-0.027   ",""
