"","parameters","r","p_nominal","p_corrected"
"1","v",-0.385,0,0.003
"2","v_congruent",-0.321,0.004,0.008
"3","v_incongruent",-0.329,0.003,0.008
"4","a",0.051,0.656,0.656
"5","t",0.052,0.647,0.656
"6","z",0.072,0.527,0.656
