"","parameters","r","p_nominal","p_corrected"
"1","v",0.242,0.031,0.094
"2","v_congruent",-0.397,0,0.002
"3","v_incongruent",0.149,0.19,0.285
"4","a",0.066,0.562,0.675
"5","t",0.166,0.143,0.285
"6","z",-0.014,0.901,0.901
