"","Parameters","b_ddm","p_ddm","b_acc","p_acc"
"1","v",0.234244413481527,0.0771591473626557,0.0155649376860709,0.905546026706501
"2","v_congruent",-0.424265297682906,0.000272256079622382,0.081330789492742,0.466427807985372
"3","v_incongruent",0.102185653088892,0.492642012954896,0.0726071512473917,0.625629677130592
"4","a",0.0860157409320018,0.453607572978882,0.149931058208096,0.193126945903614
"5","t",0.166850586572144,0.140360365446962,0.139374685901497,0.217087144288416
"6","z",0.0191275723379504,0.870362437876218,0.142993863715406,0.224671772145446
