"","Parameters","b_ddm","p_ddm","b_acc","p_acc"
"1","v",-0.178915668658656,0.193339984437094,-0.148092422577012,0.280641251180313
"2","v_congruent",-0.169283304971245,0.178396037869381,-0.184977443150055,0.141969968313053
"3","v_incongruent",-0.107562934901285,0.510603323584221,-0.162520291785845,0.321237501305992
"4","a",0.124960994691632,0.38756920935562,-0.303857425354364,0.0382500725424306
"5","t",0.0591735004628075,0.670241628287274,-0.264129851180598,0.0606312860689428
"6","z",0.115359143412674,0.344933953424863,-0.216758079379702,0.0784963907358356
