"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker","b_acc","p_acc"
"1","v",-0.268045295362558,4.77670740772041e-05,-0.0156646648515254,0.809490219197229,0.0299731485877505,0.62520907670024
"2","v_congruent",-0.2015308340236,0.000471584326102495,-0.0453441554248454,0.477647215688346,-0.0380424751181609,0.520909131619387
"3","v_incongruent",-0.388133999736578,5.43172617731327e-05,-0.0018622976702847,0.97758209020774,0.204880015002966,0.0151502867136792
"4","a",0.386614886190565,3.37006257874679e-05,0.0925593269463999,0.235873511216048,-0.405727738797947,0.000126417547986108
"5","t",-0.0402882068338978,0.460261496317168,-0.116312687285291,0.0607993230046821,-0.0291442166591209,0.6400632948527
"6","z",-0.0336163738278253,0.539689352643063,-0.114194223194642,0.0653420209970364,-0.0527323721479024,0.403651375555496
