"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker","b_acc","p_acc"
"1","v",-0.21267826815767,0.000472249828812312,-0.0793825390254695,0.188391501350657,0.80133023990477,0.0342820411858205
"2","v_congruent",-0.192153762589145,0.000334194237507237,-0.0935867914987856,0.110982734665219,0.0742823070847018,0.192376020042382
"3","v_incongruent",-0.167709852432078,0.0660569847428832,-0.108564939994972,0.0829469491736018,0.167102444986842,0.0388084126392568
"4","a",0.33785201474566,9.98816900076491e-05,0.0296124937672984,0.684410660081981,-0.256715904309805,0.00949219109268136
"5","t",-0.0380945903170083,0.460254022930036,-0.163149164894601,0.00360477493559964,0.0726661698686371,0.220305432129701
"6","z",-0.0409239821013673,0.434993364001185,-0.161442695993411,0.0039003158131591,0.0471552203405404,0.434473176038518
