"","Parameters","b_ddm","p_ddm","b_acc","p_acc"
"1","v",-0.2533126374201,0.76438781413387,0.0168719235364008,0.76438781413387
"2","v_congruent",-0.20239150321714,0.241861293169933,-0.0599247813331858,0.241861293169933
"3","v_incongruent",-0.359009043261916,0.024083621241472,0.181857349895259,0.024083621241472
"4","a",0.292288776944072,9.79494677667269e-06,-0.294614322848782,9.79494677667269e-06
"5","t",-0.0282716796445288,0.0780518814222857,-0.0933968686221919,0.0780518814222857
"6","z",-0.0439228102547179,0.0327726655423122,-0.115852057704955,0.0327726655423122
