"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker","b_acc","p_acc"
"1","v",0.221440071555502,0.000136106982939753,0.115654897141022,0.0497734195801813,0.759002032885227,0.00114880987889878
"2","v_congruent",0.189147282282614,0.000205653460639813,0.13424962627188,0.0193884273261757,-0.126841636974272,0.0183509563442936
"3","v_incongruent",0.226581142586222,0.0095811222226832,0.134501656419087,0.0273126805162786,-0.265659600389782,0.000633929818781887
"4","a",-0.272711819715248,0.00140422500822001,0.048939045059134,0.502716514314843,0.134062025901403,0.163150289454783
"5","t",0.0581351956463278,0.236759325713678,0.211613437497989,0.000119208261067925,-0.138294821809592,0.0139077479957948
"6","z",0.0299769517395333,0.55257812872009,0.207176512783876,0.000157687250875657,-0.111069858819498,0.0523240682747602
