"","Parameters","b_ddm","p_ddm","b_acc","p_acc"
"1","v",-0.341074140851424,0.00500864898753208,-0.0974588887243225,0.411395699092052
"2","v_congruent",-0.283156667011738,0.0108992929196419,-0.195195406082825,0.0759487182832641
"3","v_incongruent",-0.304019450669233,0.0510501425196012,-0.0354691542716208,0.817718413943432
"4","a",0.348441206737106,0.0133724419239341,-0.470904199181295,0.00100014108923837
"5","t",0.176164619264612,0.142191022383067,-0.319147679954181,0.00885706967146527
"6","z",-0.00944933543879341,0.935994751338233,-0.253808202995807,0.0335952353789719
