"","parameters","r","p_nominal","p_corrected"
"1","v",0.24,0,0
"2","v_congruent",0.26,0,0
"3","v_incongruent",0.118,0.023,0.034
"4","a",-0.212,0,0
"5","t",0.062,0.238,0.286
"6","z",0.026,0.618,0.618
