"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker","b_acc","p_acc"
"1","v",-0.181553836335244,0.00331773418319458,-0.032515302826947,0.596342445036165,0.122227616059216,0.0416698189265787
"2","v_congruent",-0.166174499542666,0.00214978808458557,-0.0434200036478446,0.469299275262553,0.0780708569049782,0.172057683248421
"3","v_incongruent",-0.122929404381811,0.184413616392141,-0.0581661571397963,0.36096229111329,0.143044380759616,0.0816422383713621
"4","a",0.30328853338915,0.000648213452090651,0.0666823566994802,0.364050809533889,-0.220124417852163,0.0281707773436644
"5","t",-0.0252764005581153,0.62721111959486,-0.0944491158924845,0.105001444930871,0.0720365377612926,0.225252993229799
"6","z",-0.03513102015326,0.501905011320301,-0.0931694345891153,0.109041679162355,0.052002300420079,0.390311196592564
