"","parameters","r","p_nominal","p_corrected"
"1","v",-0.245,0,0
"2","v_congruent",-0.214,0,0
"3","v_incongruent",-0.215,0,0
"4","a",0.101,0.048,0.071
"5","t",-0.056,0.269,0.323
"6","z",-0.009,0.857,0.857
