"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker"
"1","v",0.0673129500305717,0.625742089538634,0.176238944743665,0.203186071863183
"2","v_congruent",-0.354541716752243,0.00600347641384812,0.0184294286799621,0.261866766134211
"3","v_incongruent",-0.246119632458493,0.0874336184555873,0.344786985465266,0.017563682981403
"4","a",0.1834767372934,0.127094637372315,0.198345698609329,0.0988747144905253
"5","t",0.232907356213607,0.0571481213921702,0.155883608337939,0.199430076466538
"6","z",-0.107024349182969,0.387693872913707,0.192469968639579,0.116952336938039
