"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker","b_acc","p_acc"
"1","v",0.155904633684728,0.00498523503670774,0.0391869939402743,0.48681992893091,-0.164376337140551,0.00197123271228265
"2","v_congruent",0.133228513918353,0.00600714893155676,0.0516797833892576,0.34779597698401,-0.124950439012124,0.013795039144131
"3","v_incongruent",0.149281295192288,0.070981339253852,0.0528489624514467,0.363798776415333,-0.215853656433513,0.0033317530207546
"4","a",-0.170236734633263,0.0371917007431541,0.00432958821646924,0.949914424530227,0.0380230728534706,0.677352463406126
"5","t",0.0461032019168422,0.318713301323804,0.100196337200901,0.0595671553050895,-0.133917754308649,0.0112511777568434
"6","z",0.0129343981469308,0.782985880151384,0.0973476569049468,0.0666906165931523,-0.116097427415684,0.0307717208386276
