"","parameters","r","p_nominal","p_corrected"
"1","v",-0.228,0,0
"2","v_congruent",-0.252,0,0
"3","v_incongruent",-0.104,0.043,0.065
"4","a",0.198,0,0
"5","t",-0.03,0.559,0.579
"6","z",-0.029,0.579,0.579
