"","Parameters","b_ddm","p_ddm","b_flanker","p_flanker"
"1","v",0.139758550624453,0.341089055535764,-0.141850513038238,0.333962103026288
"2","v_congruent",-0.269478792953474,0.0427303559965832,0.186449294377086,0.310466337808982
"3","v_incongruent",-0.0360899907143865,0.819707929614326,-0.0443554417382274,0.779407642160394
"4","a",0.0321072296928242,0.798024778305854,-0.071282076038215,0.570323533066648
"5","t",-0.103094189492827,0.410623384224002,-0.0514374175526058,0.680829240283931
"6","z",-0.203539837910066,0.113778028794808,-0.126469158146338,0.322925889923573
