"","V1","V2","V3","V4","V5","V6","V7"
"parameters","v_congruent","v_incongruent","a","t_congruent","t_incongruent","z_congruent","z_incongruent"
"r"," 0.204"," 0.211"," 0.076"," 0.149"," 0.161"," 0.056","-0.174"
"p_nominal","0.072","0.063","0.504","0.189","0.156","0.625","0.126"
"p_corrected","0.251","0.251","0.587","0.264","0.264","0.625","0.264"
