"","parameters","r","p_nominal","p_corrected"
"1","v",0.064,0.607,0.728
"2","v_congruent",-0.196,0.11,0.525
"3","v_incongruent",-0.064,0.606,0.728
"4","a",0.022,0.859,0.859
"5","t",-0.111,0.369,0.728
"6","z",-0.166,0.175,0.525
